id,q_content
c3025,Is this bathroom in a apartment?
c3026,Why is the towel green and not black?
c3029,What is she cooking?
c3030,What country is this taking place?
c3033,Where is the bus going?
c3034,How many people are on the bus?
c3035,Do you think they are at a parade?
c3036,What country do think this picture was taken in?
c3037,Do you enjoy eating lunch outside?
c3038,Have you ever enjoyed a meal by the seaside?
c3039,What do you think are in the packages on the bike? 
c3040,Can you guess the colors of everything? 
c3041,Do you think these women are posing for a calendar?
c3042,Are these women sisters?
c3043,Is this horse a race horse?
c3044,How hot is it outside the building?
c3045,Why is he holding the bat like that?
c3046,Do you think it's possible he hits a home run?
c3047,What is the model of this plane?
c3048,How old is the plane?
c3049,How much do the kites cost?
c3050,Where is the location in this image?
c3051,Why does it make sense to store luggage underneath?
c3052,Where is the vehicle going?
c3053,Is that real or fake turf?
c3054,How many cameras are recording?
c3055,Is the bear located in the attic or garage?
c3056,Does the toy belong to a girl or boy?
c3057,Is this an upscale restaurant or a standard restaurant? 
c3058,What recipe is the chef cooking?
c3059,How do you fly a kite ?
c3060,Are kites fun to fly ?
c3061,What is the celebration for?
c3062,What food is being served here?
c3063,"Does anyone here look exhausted, worn out or tired? if so, why?"
c3064,Does it look like this person needs help or could they do this all on their own?
c3065,What type of Coffee is in that cup?
c3066,What was the last person who sat there like?
c3069,Did this person wipe out?
c3070,Did this person enjoy this?
c3071,Is this girl happy?
c3072,what is she looking at
c3073,How many years has she trained to play tennis?
c3074,Are there specific requirements that need to be met to compete in this tennis event?
c3075,Do you like to use an umbrella on a sunny day?
c3076,Where do you think this image was taken?
c3079,Did the elephant poop.on the bridge?
c3080,What country is this in?
c3083,What time do you think this was taken?
c3084,Do you wear the same outfit every time you fly?
c3085,How come he just discovered PornHub?
c3086,What do you think the pink band is for?
c3087,How are these two people related to one another?
c3088,Where are they at the moment?
c3089,Are the birds one family or 2 couples out on a double date?
c3090,"There seems to be other posts/slots available, are they waiting for a town hall meeting or some sort of larger social gathering among their friends?"
c3091,How much does the batter weigh?
c3092,Are the bases loaded?
c3095,Was the ball hit?
c3096,Was the throw a strike?
c3097,Is this a competition or is it just an event?
c3098,Why are they carrying these flags?
c3099,Have you ever been surfing?
c3100,Do you think the waves here are big enough for surfing?
c3101,Where are they headed?
c3102,What street is this?
c3103,is the team playing at a tournament?
c3104,which team is set to win?
c3105,"Who is the ""special friend"" that the cute purple teddy bear is for?"
c3106,Why is there a random piece of wood in the photo?
c3107,Are these sisters or all the same person?
c3108,How long will it take her to get ready?
c3109,Who are these people to one another?
c3110,Who's celebrating something?
c3111,Are these people on vacation?
c3112,Where do you think they are?
c3113,is it going to rain 
c3114,What kind of fish can you catch in that water
c3115,What beach are they playing on?
c3116,What is the relationship between these two people?
c3117,Are pugs well-suited to the cold? 
c3118,Where is this taking place? 
c3119,How old is that clock?
c3120,Is this in Europe?
c3123,Is this girl a good skier
c3124,Do skiers like cold weather
c3125,What game are the kids playing?
c3126,Are the kids related to eachother?
c3127,Did it rain today?
c3128,Who do you think uses this umbrella?
c3129,What do you think about her swimsuit?
c3130,What part of the coast do you think this is?
c3131,Do you think any of those people know they are being watched in this high of a definition?
c3132,"I can't really tell if this is indoors or outdoors, what do you think?  the lighting makes me think there's a glass roof, but I can't tell."
c3133,What can we do to help the wildlife of the world?
c3134,Have you ever raised a baby animal who lost its mother?
c3137,How old do goats live to be?
c3138,What purpose do goat's weird pupils serve?
c3139,Are these kids brothers?
c3140,Does the boy batting want to play baseball on a school team?
c3143,Which child is having more fun ?
c3144,Do kids like to play baseball ?
c3145,What is this person dressed up for?
c3146,What do you think this establishment is?
c3147,Why is the man carrying the flag?
c3148,Is the man at a competition?
c3149,Whats the horses name?
c3150,What city are they in?
c3151,Why is this person posing with a prop surfboard?
c3152,Is the older gentleman in the background walking to the bar in the middle of the morning?
c3153,Where do you think this bench is located?
c3154,Do you like the idea of the little dividers?
c3157,What do you think the little boy is holding?
c3158,Do you think she is just starting to fly the kite or finishing up?
c3159,Is technology something this gentleman does not often come in contact with?
c3160,What exactly is it that's making this guy smile?
c3161,Are these children on a school trip?
c3162,Where are they traveling to?
c3163,I wonder which horse will win the race?
c3164,What is going on inside the two beautiful windows?
c3165,How old do you think those girls are?
c3166,Do you think they'll conitnue playing as they get older?
c3169,Is it windy enough outside to fly a kite?
c3170,What is the relationship of the people in the picture?
c3171,What month of the year is it at the slope?
c3172,Are people also skiing at this mountain?
c3173,Why is she riding a horse on the street?
c3174,Is the cop stopping her?
c3175,What type of jets are those?
c3176,Are they stunt jets or military? 
c3177,Do you think they are celebrating something?
c3178,What type of cake do you think that is?
c3179,How long ago do you think it was since this picture was taken?
c3180,Where exactly was this picture taken? And during what time period?  
c3181,Do you think the woman in this picture is real or like a cardboard cutout?
c3182,Why would these two pictures be side by side?
c3183,What is the woman searching for?
c3184,How many people are on the train?
c3187,Is that elephant practicing for the next world cup?
c3188,"He seems like he has good footwork, what position does he play?"
c3189,How long do you think they can spin those frisbees?
c3190,Do you think they were playing frisbee golf earlier?
c3191,Are video cameras expensive?
c3192,Is it hard to film videos for social media ?
c3193,What kind of ceremony is this?
c3194,Why do they paint vertical stripes on the curb?
c3197,Where is the kid snowboarding at?
c3198,Is the snowboarder in a competition?
c3199,How fast are they going?
c3200,What event are they skiing in?
c3201,Is this an event?
c3202,What mountain is this taking place on?
c3203,How long do most riders manage to stay on a running sheep?
c3204,What is the boy in the black hat trying to do?
c3205,What type of knot is being used on the tie?
c3206,What type of event is this for?
c3207,Why are people lowering suitcases down using a pulley system?
c3208,Whose suitcases are they and where are they going?
c3209,What are these guys celebrating?
c3210,Is the treat and beverage a tradition for what their gathering for?
c3213,Did you play team sports in college?
c3214,What's your opinion of the feminist movement?
c3215,How old is this house?
c3216,Does the fireplace work?
c3217,Where are they going?
c3218,What city are they in?
c3219,What is he looking at on his phone that makes him smile?
c3220,Do you think he is a student or a businessman?
c3223,How much does the horse weigh?
c3224,How many people are at the event?
c3225,What country is the boy in?
c3226,How long has he been skaing?
c3227,Which truck is carrying luggage?
c3228,How many trucks are there on the road? 
c3229,Where do you think this picture was taken ?
c3230,How much luggage can a plane carry ?
c3231,I wonder how many people have sat at that bench?
c3232,I wonder why this picture was taken?
c3233,Where was this man born?
c3234,how old is the Giraffe?
c3235,How long will it take to remove the log from the road?
c3236,How will it affect the day to day traffic in this area?
c3237,Are any of these people married to each other?
c3238,What city are they travelling to?
c3239,How can you tell if these people traveling or if they are locals?
c3240,Where are these people coming from and why are they grabbing a meal together?
c3241,what game is she playing?
c3242,Does she know how to use that
c3243,Why even remain having it there if you can't use it?
c3244,How old do you think that thing is?   
c3245,Do you think the man lives alone?
c3246,What type of music do you think he listens to?
c3247,Do these people snowboard well?
c3248,Are they friends or family on a snowboarding trip?
c3249,Why did the city decide to abandon maintenance on this particular section of road? 
c3250,what is the purpose of the brown cylindrical structure at the edge of the forrest?
c3251,How many people in the photo are reading books on the train?
c3252,Is it a woman or man holding up a phone on the train?
c3253,I wonder what the lady in the middle is doing on her phone?
c3254,I wonder what country this picture was taken in?
c3255,What race or cycling expedition are these travelers participating in?
c3256,From which states or countries do these travelers come from?
c3257,Do you think the people in this picture are married to each other?
c3258,Do you think the woman in the picture is a professional trainer?
c3259,What type of competition is this tennis match for?
c3260,What do you think the score for this match is so far?
c3261,What kind of animal is in the photo? 
c3262,What color is the photo? 
c3263,Why is there rope hanging in front of the object?
c3264,Why was this object abandoned?
c3265,Do you think female baseball players were allowed to wear pants?
c3266,Are there leagues where women and men play together?
c3267,Did this man purposely match with the wall decor?
c3268,Why does the wall have these stickers on it?
c3269,what will be the topic of conversation?
c3270,what are you celebrating?
c3271,I wonder what brand of jeans the man on the left is wearing?
c3272,I wonder how long they have been on the TV?
c3273,Where is the elephant going?
c3274,What did the elephant eat today?
c3275,Who do you think will make it down the mountain first?
c3276,Is there a high chance that they could be injured?
c3277,What kind of race or other event is this bird participating in?
c3278,Where is this event taking place?
c3279,Is the movie interesting?
c3280,what are you watching?
c3281,Does this man have a family?
c3282,What kind of job does he work?
c3283,Is the Zebra an adult or child? 
c3284,Is anyone looking looking into the cage with the Zebra in it? 
c3285,Do the people know each other?
c3286,Where did the woman purchase her purse from?
c3287,What is the relationship between the two sitting women?
c3288,Where is the siting man going?
c3289,I wonder why that lady is in a wheelchair?
c3290,I wonder where that man bought his shirt?
c3291,Do you think the woman in the photo are family? 
c3292,Why aren't there any men in the photo?
c3293,Did the tennis player hit this ball with good strategy 
c3294,How many sponsors can be seen in this picture.
c3295,How old is this zebra?
c3296,Do you think the zebra minds being caged?
c3297,What are the two men looking at off camera?
c3298,What is in the old man's green bag?
c3299,What type of food are they looking for?
c3300,"Do you think that is a mom, dad and baby?"
c3301,I wonder what all of their birthdates are?
c3302,I wonder what Wii game they're playing?
c3303,What are people discussing?
c3304,Why is there a soldier and a cameraman?
c3305,What type of content is being shot?
c3306,What is this emotion that is being conveyed by the man in the suit?
c3307,"Did this little league team lack the funding for appropriate equipment, or was the use of whiffle bat and tennis balls intentional?"
c3308,Will the coach be successful in encouraging the kid to leave the safety of his mother's arms?
c3309,Which man is married?
c3310,Which man has committed crimes in his past?
c3311,"This picture looks beautiful, where was this taken?"
c3312,"That building looks nice, what's the name of that building?"
c3313,How high can the kite in the photo fly?
c3314,"Before today, when was the last time the man in the photo flew a kite?"
c3315,Was this shot successful?
c3316,How talented is this player?
c3317,Did the batter hit the ball?
c3318,How old is the batter?
c3319,Is the zebra fleeing from a predator?
c3320,Do zebras normally live in herds?
c3321,Where is the person on the horse heading too?
c3322,How long have they been traveling in this location?
c3323,Why is the man wearing purple socks?
c3324,Who is taking the photo of the man?
c3325,Are these two girls sisters?
c3326,What's their favorite video game?
c3329,was it a strike?
c3330,Is the game interesting?
c3331,Who are the teams in this picture?
c3332,What date did this baseball game occur?
c3333,Which position does the batter play?
c3334,Do the coaches think the batter is a talented player?
c3335,What game are the boys playing on the Wii
c3336,Are the boys friends or enemies? 
c3337,Which guy at the front is smarter?
c3338,Do these men like each other?
c3339,I wonder where this in zebra is from
c3340,I wonder if this zebra is running 
c3341,How many shades of green are in this photo?
c3342,What type of location is this photo taken?
c3343,Why are the sheets so pink?
c3344,Does the owner of the room like art?
c3345,Which social class do they belong to?
c3346,Who did this group vote for?
c3347,That looks like an old laptop from the 20th century! But what is the name of that laptop?
c3348,What is he doing with the laptop?
c3349,Are the teens in the picture friends?
c3350,Are the teens in the picture part of a club?
c3351,Where is the man with the glasses going?
c3352,Are the two men in the center walking together or separately?
c3353,Which beach was this picture taken in?
c3354,What country is this taking place in?
c3355,What kind of school do these teenagers attend?
c3356,What do they like to do for fun?
c3357,How long has Malaysia been a country?
c3358,Are the US and Malaysia still in good standing with each other?
c3359,Is this a museum or just a nostalgic vampire's room?
c3360,Who had the bright idea of mounting a candle stick to the arm of the chair?
c3361,What time of day does it appear to be.
c3362,What are these birds doing?
c3363,How do they know each other?
c3364,Where was this picture taken?
c3365,Do these men work together?
c3366,Are they sports fans?
c3367,What are the green shirts for?
c3368,Why does the man on the right look unhappy?
c3369,How many miles does this zebra travel each day?
c3370,What is the zebra's favorite food?
c3371,How long ago do you think this was taken?
c3372,Is it normal to keep a bunch of bananas on your desk?
c3373,"Are the attending a protest? If so, what for?"
c3374,Is the person on the bicycle involved with what's happening?
c3375,Does this phot appear to be old?
c3376,What is country is on the man’s church?
c3377,What kind of work are the people in the orange vests doing?
c3378,Was a building in the picture damaged?
c3379,What kind of relationship do these two have?
c3380,What brand is the pizza?
c3381,Who's house is this?
c3382,Who is the man sitting in the chair?
c3383,What is she looking at that made her make that face?
c3384,Is that a popular hair style?
c3385,Is this an active railyard?
c3386,Do these people live here or choose to spend time here?
c3387,Do these horses like being ridden?
c3388,Does anyone clean up the horse poop?
c3391,Is the person holding the umbrella for rain to shield them from the sun?
c3392,Did the person come out of the shop behind them?
c3393,Where do you think that woman is going with all of those bags?
c3394,Where is the best place you have travelled by train?
c3395,are those chocolate chip or raisin cookies
c3396,what kind of boat are they having a party on
c3399,Which of these women goes to church?
c3400,How many people here are married?
c3405,Is this her first time seeing her big girl bed?
c3406,Does she like to jump on her bed?
c3407,What is this body of water?
c3408,What is the temperature at this location?
c3409,How much did the earrings cost?
c3410,What flavor is the wedding cake?
c3411,What brand of teddy bear is that?
c3412,How old is the person holding the bear?
c3417,What game are they playing?
c3418,How old is the mother?
c3421,where are all the men
c3422, how large is this kitchen is
c3423,How much time do they spend watching TV in the bathroom?
c3424,How hard is it to clean between the bowl and the vanity top?
c3425,why are there no jet streams coming from the three
c3426,where are they going
c3427,Who is the guy going to give the flowers to?
c3428,What is the lady on the phone looking at?
c3429,Has anyone ever tried to crawl through the hole in the wall?
c3430,Do they ever use the plates on the shelf for eating?
c3431,Has the kid in the orange ever been to Madrid?
c3432,How much longer do they have before their lesson is over?
c3433,How hard is it to control that long chain of kites?
c3434,Do the kites ever become tangled?
c3435,How many donuts are you going to buy.
c3436,Which kind is your favorite.
c3437,How long have you been a surfer?
c3438,Who taught you how to surf?
c3439,What game are you playing?
c3440,Who’s winning?
c3441,What’s the dog’s name?
c3442,Who’s it’s owner?
c3443,What country are you in?
c3444,Where is your family?
c3455,Which of these people are related?
c3456,Which of these people is hungry?
c3457,Which of these people feels cold?
c3458,Where are they walking to?
c3459,What certifications do these people have?
c3460,Where is this mission headed?
c3461,What is being celebrated?
c3462,What month is it?
c3463,Who planned the landscaping?
c3464,What type of plants are there?
c3465,WHERE IS SHE
c3466,where are her parents 
c3467,What do you think the restaurant is known for?
c3468,Is the food good?
c3469,How old are these elephants?
c3470,Where did they come from?
c3471,Where is the train going?
c3472,How much does it cost to ride the train?
c3473,Where is he going?
c3474,What is the girl in the back thinking about?
c3477,Where are his parents 
c3478,Why are people happy to see him run
c3481,Why is she holding the door?
c3482,Why is she smiling in such an intense way?
c3483,How many of these kids like to play video games?
c3484,How many of these kids like to watch baseball?
c3485,How long have you been playing tennis?
c3486,Do you like playing singles or doubles?
c3487,What game are they playing?
c3488,Whose playing?
c3491,Where are these guys going to ski?
c3492,Are they good at skiing?
c3493,Who will win this race?
c3494,What team do each of these people represent?
c3495,What country is shown in the picture? 
c3496,Who is the statue of? 
c3499,Where are her shoes?
c3500,Did she remember to tell her mom happy birthday?
c3501,What is the name of the team playing?
c3502,How old are the children on the team?
c3503,Can I ride this train?
c3504,Is it on fire?
c3505,What sport are they playing
c3506,Do I think I could catch it 
c3509,Is the woman eating with someone else?
c3510,What else does the woman order?
c3511,Where was this picture taken?
c3512,How does this make you feel?
c3513,who is she having lunch with?
c3514,Is the pizza good
c3515,How far did he hit the ball?
c3516,Which team is winning?
c3517,Are they playing catch?
c3518,Does the person catch the frisbee?
c3519,Which of these kids likes ice cream?
c3520,Who likes to go to the mall?
c3521,Why is she looing worried in the bathroom mirror? 
c3522,What is in the orange boxes? 
c3523,I wonder where they are headed?
c3524,do you think they talk to each other?
c3525,What team do you play after this?
c3526,Are you confident you will win this game?
c3527,What song is the musician playing?
c3528,Are they skilled in any other instruments?
c3529,Who threw the frisbee to the guy in the blue trunks.
c3530,How many animals are in the ocean by the woman.
c3533,What are they all looking at?
c3534,How do they all feel in this moment?
c3535,How many stuffed animals does this little girl have?
c3536,What is this little girl's favorite ice cream flavor?
c3539,Where did you get that tie?
c3540,How much did it cost?
c3541,What is the name of the book?
c3542,Where did the person that was sitting in the chair go?
c3543,Do you think the people won or lost 
c3544,Why is their two people on one side and one on the other 
c3545,What kind of music is he playing?
c3546,"How many people are at the event?
"
c3547,Was broccoli her first choice?
c3548,What is her name?
c3549,Why is a person holding an umbrella when it's not raining?
c3550,Who does the horse belong to? 
c3551,Where is the train going?
c3552,Is this its final stop?
c3553,What is the name of this sport?
c3554,How high are the jumps for this sport?
c3555,When do you think this picture was taken?
c3556,Does that dog have something on its face?
c3559,What is the meaning of this picture?
c3560,Where was this taken?
c3561,What influenced the man to wear his outfit? 
c3562,What could the dog be thinking?
c3563,Who is hungry in this picture?
c3564,Who likes to shop at wal-mart?
c3565,Where is the next stop?
c3566,Is the train crowded?
c3567,Where do you think the person is going?
c3568,Do you think the weather is cold or warm in this picture?
c3569,Is that a real horse? 
c3570,Why is there a white table cloth? 
c3573,Whose flying the kite?
c3574,Is it a cold day?
c3575,Why is there tents here in the background? 
c3576,Are these two friends or relatives?
c3577,Where is this person going? 
c3578,Who took the picture?
c3579,How many years of skiing experience do they have?
c3580,Which of these people is having more fun?
c3581,What do you think they are talking about?
c3582,What do you think is in that bag she has?
c3583,What is that image on the screen?
c3584,How old is the kitten?
c3585,How many babies does this elephant have?
c3586,Where does this elephant like to sleep?
c3587,What is the cat's name?
c3588,What are the man's favorite movies to watch?
c3589,When was this picture taken?
c3590,What does the image on the kit represent?
c3591,How long have you been in service?
c3592,What do you like about the army?
c3593,Why is the woman so happy?
c3594,Is she in an exotic location?
c3595,Does this baby have siblings?
c3596,Why is this baby smiling?
c3597,Does she go to school yet?
c3598,Does she have a brother?
c3599,Where did the boat come from?
c3600,Where is this located?
c3601,What is he speaking about?
c3602,What kind of event is this?
c3603,Is she in Asia?
c3604,Is she having a good time
c3607,Is it Christmas time?
c3608,Is the lamb her favorite toy?
c3609,Why is the lady smiling?
c3610,Where did she get her pearl necklace?
c3611,Why do you think it's so hazy?
c3612,How heavy do you think the bike is?
c3613,What do you think they had for dinner on the dishes they're washing?
c3614,what do you think they are talking about?
c3615,What is the name of the wall this boy is standing up against?
c3616,How old is the skateboard the boy has?
c3617,What are under those covers?
c3618,How does someone learn to windsurf?
c3619,Can the men swim? 
c3620,What are they walking toward in the water? 
c3621,What type of music does this woman play while she cleans?
c3622,What is this woman's favorite cereal?
c3625,How cold is it outside?
c3626,How many other kites do they have at home?
c3627,Does the dog spend a lot of time on the boat?
c3628,What are you fishing for?
c3629,what do you think the score is?
c3630,Do you think they are a good team?
c3631,How cold is the water?
c3632,Is surfing hard to learn?
c3633,What could the man in the background be thinking?
c3634,What does the horse think of eating at the moment? 
c3635,Why are there arrows sticking out of that case? 
c3636,What kind of building even is this?
c3637,Where can I buy a kite like that?
c3638,Are kites like that expensive?
c3639,Where is this person going?
c3640,Why are they dressed in a suit?
c3641,Was this before or after the song banana phone?
c3642,Who is she pretending to talk to?
c3643,What ocean do you think he is in?
c3644,How high is the biggest wave he has rode? 
c3645,What kind of person would buy a home with a toilet so close to the shower?
c3646,How many people slipped and injured themselves due to the design of this bathroom?
c3647,Where was this picture taken?
c3648,who is in the picture?
c3649,Why is she so excited?
c3650,How many people does she live with?
c3651,What ocean is this guy at?
c3652,Where did this man order his food from.
c3653,Would you like to do this?
c3654,How many people are in this photo?
c3655,Does the man on the bicycle fall?
c3656,Is the lady in the picture for hire? 
c3657,Who do you think is winning?
c3658,What game do you think they're playing?
c3659,How long has this person been playing soccer?
c3660,Will the person with the ball score?
c3661,What kind of kitchen is that woman working in?
c3662,"Who would order such a big meal so early in the day, assuming it is morning?"
c3663,Where do most of these people like to eat out?
c3664,How many of these people have been to France?
c3665,What tournament did this picture come from?
c3666,How is this sport scored?
c3667,Where could this photo be taken place?
c3668,What is the man talking about on his phone?
c3669,Could i haggle with this kind of vendor?
c3670,Is there good money in selling from carts?
c3671,Do you think they like each other?
c3672,Who is winning?
c3673,Where is that skate park?
c3674,How long has he been skating?
c3675,Are those girls going to buy food from that food truck?
c3676,Does the food truck park there all day or is it just driving by?
c3677,What's going on here?
c3678,What are your life goals?
c3679,Does the baby like fruit?
c3680,Is it the baby's lunch time?
c3681,Why does the guy in the middle look like he is not enjoying being there with the two girls? 
c3682,Why does the bench look like its right at a road? Isn't this a safety concern? 
c3683,Does she hate her opponent's guts?
c3684,Did she remember to pack her muscle cream?
c3687,Where did that shirt come from?
c3688,Who made that shirt?
c3689,Is he cooking or cleaning?
c3690,What will the end product be?
c3691,Who is this?
c3692,What sport is this?
c3693,How long has the kid been skateboarding?
c3694,How many cans of paint have been used to bring about this street art?
c3695,Do you think they are tourists?
c3696,Do you think those hot dogs would taste good?
c3697,Where did the man buy his green and white shirt.
c3698,How old is the red bird in the photo.
c3699,Is this at a park?
c3700,Does the little girl like vegetables?
c3701,How long did it take this man to ride waves in this way?
c3702,What could be the cause of this brown water?
c3703,"Is that a serious tennis player, or is he playing for fun?"
c3704,Do you know if he is wearing all Nike due to sponsorship?
c3705,Where is this picture taken?
c3706,what type of event do they dress like that for?
c3707,Where is this plane going?
c3708,How much fuel is in the plane?
c3709,What are these men looking at?
c3710,Where are they?
c3711,Do you think this giraffe is a mom giraffe with a baby running around somewhere behind her?
c3712,What do you think this giraffe's favorite treats are?
c3713,What kind of celebration is this?
c3714,Who made the cake?
c3717,What's the score?
c3718,Is the game over or has it not even started yet? 
c3719,How long has the batter been playing baseball?
c3720,What is the score of the game?
c3721,What trainer trained the horses in the picture?
c3722,How long are the women going to ride the horses?
c3723,What motivated the couple to buy this cake?
c3724,Why is the girl in the background look confused?
c3725,Who is he cooking for?
c3726,What is he going to cook?
c3729,What kind of relationship do birds and elephants have?
c3730,Do you think that it is springtime in the picture? Why?
c3731,Why does this luggage look really suspicious? 
c3732,Is that a regular person or someone at a airport that works there standing in front of the guy?
c3733,Is the baby enjoying the meal?
c3734,How old is this child?
c3735,Which team is winning?
c3736,Are there any other players on the bases?
c3737,Is this picture taken in UK?
c3738,Who took this picture
c3739,Where in the world is this taking place?
c3740,Is the person in the image male or female?
c3741,Why can't anyone exit after midnight?
c3742,What kind of activities go on in the building with the clock tower?
c3743,what is this mans favorite color?
c3744,Is this in a private garden?
c3745,"why is the flash on?
"
c3746,how does it look like he's in the bathtub but he's sitting?
c3747,How many countries does the United States Army help with cattle immunization?
c3748,How long has the captain been in this country?
c3749,what was her speed?
c3750,who was the opponent?
c3751,Could that be a state owned railway system in Europe?
c3752,Is the man on the platform a passenger from overseas?
c3753,What is the man doing on the roof?
c3754,What goals does the man want to achieve?
c3755,why isn't the passenger wearing a helmet?
c3756,how many mph?
c3757,Think she is half phone half human?
c3758,Why is she so happy?
c3759,What is the nearest station to these tracks
c3760,What is the job of the man in the chair?
c3763,Who is currently winning this game?
c3764,Do you think the white shirt player is going to be able to get the ball away?
c3765,What type of crimes is the man with the orange pants plotting to get away with?  
c3766,How much do you think the bike cost that the officer is sitting on and is it worth our tax dollars?
c3767,What are these two women working on?
c3768,Who does the third laptop belong to? 
c3769,"What are these colorful, Kite like looking things?"
c3770,Do people use these?
c3771,Do all the other accountants at her building dress like her?
c3772,Is she headed to her Christian school class reunion?
c3773,is she going to throw the frisbee?
c3774,are they a family?
c3775,Should children cross the street by themselves?
c3776,Do you think Starbuck's gets a lot of business being on a one way street?
c3777,What kind of music does the band on tv play?
c3778,How old is the kitten?
c3781,Were these children playing a game?
c3782,Are the children friends or have they just met?
c3783,Does the man identify with the stuffed animal? 
c3784,Is this a performance for kids?
c3785,why didn't the photographer help?
c3786,what city is this?
c3787,Where was this photo taken?
c3788,Where are these kids going?
c3789,Was there another person eating his meal with him or did he eat several things on his own? 
c3790,Who took the photo and was this for a news article?
c3791,When was the last time she looked up from her phone?
c3792,Is it time for a phone upgrade?
c3793,What was the weather like on this day?
c3794,How many people where on boats in this image?
c3795,What kind of game are the people playing?
c3796,How many people live in the house?
c3797,What other activities can people do at this place
c3798,is it a nice vacation spot
c3799,What's that building in the background? 
c3800,What year was this picture taken? 
c3801,Which team appears the most engaged?
c3802,"Do the fans seem excited about the match?
"
c3803,How has this woman's day been going so far?
c3804,Who is taking the photo?
c3807,Is this woman a member of a club that edits pictures?
c3808,Is that laptop connected to the internet?
c3809,What kind of architecture is this?
c3810,Are these people enjoying their trip?
c3811,What do you see?
c3812,Why can't we agree on anything?
c3813,Where was this photo taken?
c3814,Was this photo taken during a continuous rain event that would signal climate change?
c3815,Do you think the train cake is made out of chocolate or vanilla cake?
c3816,Are they celebrating the little girl's birthday at home or at a restaurant?
c3817,Why is the couple walking together and letting the little kid walk ahead? 
c3818,Does the road department take care of the roads?
c3819,Was there a special occasion the day of this picture?
c3820,What kind of wine is that?
c3821,How experienced are the snowboarders?
c3822,Where is the ski/snowboard resort located?
c3823,Did this man make it down the hill without any falls?
c3824,Are the skis being used expensive?
c3825,Where does this trail lead?
c3826,In which state is the location in this picture located?
c3827,What does the economic standing of this area appear to be?
c3828,Do these dogs have the same owner or are they being dogsat?
c3831,Is he going to an event
c3832,Did he dress up for a date
c3833,What is this man thinking?
c3834,What time was this image taken?
c3835,Is this the parking lot at the prison on visiting day?
c3836,Would you use this as your profile picture?
c3837,Which of the three people take care of the dogs?
c3838,Is the woman married to one of the men or is she a family member?
c3839,Is this person an experienced skier?
c3840,How difficult of a ski slope is this?
c3841,How many children each year are injured cutting a birthday cake?
c3842,Should you have sugar free options are your child's next birthday party?
c3843,did they just get back from skiing or are they just getting out there?
c3844,do they go skiing often?
c3845,What do we think the occasion is here.
c3846,"Do any of the kites seem especially noteworthy?
"
c3847,Do you think the people on the jet ski can see what the parasailing person is doing in the air?
c3848,Is the man with the backpack part of the group that is sitting down?
c3849,On what day of the week was this picture taken?
c3850,What are the ages of the people in this picture?
c3851,What is making this girl laugh so hysterically?
c3852,What is the relationship of the person that took the picture with the girl in the picture?
c3853,Who is liable for accidents with this left in the sand?
c3854,What is this object used for?
c3855,Which mountain retreat is this? 
c3856,How recently did it last snow? 
c3857,What is the elevation of the location in the image?
c3858,What is the horse's name?
c3859,Do these people appear related?
c3860,Which person has the best hairstyle?
c3863,Does the young girl work at the tennis court?
c3864,"Is the young girl related to the tennis player, and how is she related? "
c3865,What mood is she in?
c3866,How long has this person been on hold?
c3867,Is this a good place to surf?
c3868,Are the waves good here?
c3869,Did he end up hitting that ball or striking out?
c3870,What do you think makes a player choose one bat over another when they play?
c3871,Where is this young man headed to on his bike?
c3872,Why is he riding a bike with no shoes on?
c3873,Have you ever gone hiking?
c3874,Can animals perceive beauty?
c3875,Which of these kids appears to be the eldest?
c3876,Does the snack they're eating appear tasty?
c3877,Why does the guy and girl helping carry the surfboard have jackets on?
c3878,"Do you think they are getting ready to surf or ready to go home?
"
c3879,How many people fall asleep staring at their phones in the middle of the day?
c3880,What is the average number of bracelets a person wears in a day?
c3881,What models are the computers shown? 
c3882,What size is the screen on the left? 
c3883,Did any of these people become professional tennis players?
c3884,What is the height of the tallest player in this image?
c3885,do horses know their owners scent ?
c3886,can horses see from the side of their head ?
c3887,Is this park a safe place?
c3888,Do people enjoy this Park?
c3889,From where did this person travel? 
c3890,Where is this person traveling? 
c3891,Is this a competitive or friendly game? 
c3892,Did the people in the photo all know each other beforehand or did some meet each other that day?
c3893,Is this meeting full for the free pizza?
c3894,In this situation are there options clearly marked vegetarian? 
c3895,What do elephants eat in the wild? 
c3896,Why is there gravel it appears in this area?
c3897,Where and when is this news event from?
c3898,Who is the person being interviewed and who is the reporter? 
c3899,Do you think people boycotted these girls playing?
c3900,How long do you think girls had to play in skirt uniforms before they got to wear pants like the guys?
c3901,Who is this man talking to on the phone?
c3902,Why is he wearing that garment?
c3903,Is this man scared to be driving fast?
c3904,Is this motorcycle part of a race on a track or is he riding on a city street?
c3905,Where is this building?
c3906,What happens in this place?
c3907,can a kite with stand harsh weather conditions ?
c3908,is it calming to control a kite alone?
c3909,Would you like to live in a rural area?
c3910,Do you think using working animals is ethical?
c3911,How many training sessions have these two gone through together? 
c3912,Is using plush props sufficient effort to learn safety techniques?
c3913,"Why does the little girl have an umbrella, it doesn't appear to be raining?"
c3914,"Why is the little girl standing on the side of the road, she is waiting for a bus?"
c3915,What is the relationship between the young ladies?
c3916,What is this young lady laughing about?
c3917,At what point does a humans ears pop at elevation ?
c3918,can humans get over a fear of heights if they explore more?
c3919,Is the chair covered up because of the rain?
c3920,Where does this picture take place?
